Date,PlayerID,SleepHours,Nutrition
2018-01-22,1,8.5,Excellent
2018-01-23,1,7.5,Excellent
2018-04-08,1,8.25,
2018-04-09,1,9.0,
2018-04-10,1,8.0,
2018-04-16,1,7.75,Excellent
2018-04-17,1,4.75,Okay
2018-05-07,1,8.0,Excellent
2018-05-08,1,9.0,Excellent
2018-06-03,1,7.0,Excellent
2018-06-04,1,3.0,Excellent
2018-06-05,1,8.75,Excellent
2018-07-15,1,9.25,Excellent
2018-07-16,1,9.0,Excellent
2018-01-21,2,9.0,
2018-01-22,2,8.75,
2018-01-23,2,9.75,
2018-04-09,2,9.5,
2018-04-10,2,9.0,
2018-04-16,2,7.5,
2018-04-17,2,8.25,
2018-05-07,2,9.25,
2018-05-08,2,8.75,
2018-06-03,2,6.75,
2018-06-04,2,3.5,
2018-06-05,2,10.0,
2018-07-15,2,11.5,
2018-07-16,2,9.5,
2018-01-21,3,8.0,Excellent
2018-01-22,3,8.0,Excellent
2018-01-23,3,8.0,Excellent
2018-04-08,3,7.0,Excellent
2018-04-09,3,8.0,Excellent
2018-04-10,3,8.0,Excellent
2018-04-16,3,8.0,Excellent
2018-04-17,3,5.0,Excellent
2018-05-07,3,8.5,Excellent
2018-05-08,3,7.5,Excellent
2018-06-03,3,7.5,Excellent
2018-06-04,3,1.5,Excellent
2018-06-05,3,11.0,Excellent
2018-07-15,3,7.5,
2018-07-16,3,7.5,
2018-01-21,4,9.25,Excellent
2018-01-22,4,8.5,Excellent
2018-04-09,4,10.5,Excellent
2018-04-10,4,8.5,Excellent
2018-04-17,4,8.5,Excellent
2018-05-07,4,8.5,Excellent
2018-05-08,4,9.0,Excellent
2018-06-05,4,7.75,Excellent
2018-07-15,4,9.0,Excellent
2018-07-16,4,8.75,Excellent
2018-01-21,5,9.25,Okay
2018-01-22,5,8.0,Okay
2018-04-09,5,9.5,Okay
2018-04-17,5,9.0,Okay
2018-05-07,5,5.75,Okay
2018-05-08,5,8.0,Okay
2018-06-03,5,4.75,Okay
2018-06-05,5,7.5,Okay
2018-07-15,5,9.0,Okay
2018-07-16,5,8.25,Okay
2018-01-22,6,8.5,
2018-01-23,6,9.0,Excellent
2018-04-09,6,8.0,
2018-04-10,6,8.25,Excellent
2018-04-17,6,8.5,Excellent
2018-05-07,6,8.25,
2018-05-08,6,9.75,Excellent
2018-06-04,6,7.5,
2018-06-05,6,8.75,Okay
2018-01-21,7,9.25,Excellent
2018-01-22,7,8.75,Excellent
2018-01-23,7,9.0,Excellent
2018-04-08,7,9.0,Okay
2018-04-09,7,8.75,Excellent
2018-04-10,7,8.75,Excellent
2018-04-16,7,5.75,Excellent
2018-04-17,7,5.5,Okay
2018-05-07,7,9.0,Excellent
2018-05-08,7,9.0,Excellent
2018-06-03,7,7.0,Excellent
2018-06-04,7,6.0,Excellent
2018-06-05,7,10.25,Excellent
2018-07-15,7,10.0,Excellent
2018-07-16,7,10.0,Excellent
2018-01-21,8,7.25,
2018-01-22,8,7.0,
2018-01-23,8,9.75,Excellent
2018-04-09,8,9.5,
2018-04-10,8,8.0,
2018-04-16,8,8.0,
2018-04-17,8,10.0,
2018-05-07,8,8.5,
2018-05-08,8,8.25,
2018-06-03,8,6.25,
2018-06-05,8,9.5,
2018-01-21,9,4.25,Okay
2018-01-22,9,9.0,Okay
2018-01-23,9,10.5,Okay
2018-01-21,10,9.25,Excellent
2018-01-22,10,8.25,Excellent
2018-01-23,10,9.25,Excellent
2018-04-08,10,9.5,Okay
2018-04-09,10,7.0,Okay
2018-04-10,10,9.0,Excellent
2018-04-16,10,5.75,Excellent
2018-04-17,10,3.5,Okay
2018-05-07,10,8.5,Okay
2018-05-08,10,8.75,Excellent
2018-06-03,10,10.0,Excellent
2018-06-04,10,8.75,Okay
2018-06-05,10,8.5,Excellent
2018-07-15,10,7.25,Okay
2018-07-16,10,8.75,Excellent
2018-01-21,11,9.0,Excellent
2018-01-22,11,8.25,Excellent
2018-01-23,11,8.5,Excellent
2018-04-08,11,7.75,Excellent
2018-04-09,11,8.0,Excellent
2018-04-10,11,7.75,Excellent
2018-04-16,11,7.0,Okay
2018-04-17,11,2.5,Excellent
2018-05-07,11,6.75,Excellent
2018-05-08,11,8.5,Excellent
2018-06-03,11,6.0,Excellent
2018-06-04,11,4.0,Okay
2018-06-05,11,10.0,Okay
2018-07-15,11,8.75,Excellent
2018-07-16,11,9.0,Excellent
2018-01-21,12,9.5,Okay
2018-01-22,12,8.25,Okay
2018-04-09,12,8.75,Okay
2018-04-10,12,8.0,Okay
2018-04-16,12,8.0,Okay
2018-04-17,12,6.5,Okay
2018-05-07,12,8.0,Okay
2018-06-04,12,8.0,Okay
2018-06-05,12,8.0,Okay
2018-01-21,13,10.0,Okay
2018-01-22,13,9.0,Excellent
2018-01-23,13,8.75,Excellent
2018-04-08,13,7.0,Okay
2018-04-09,13,9.0,Excellent
2018-04-10,13,8.25,Excellent
2018-04-16,13,7.0,Excellent
2018-04-17,13,7.0,Excellent
2018-05-07,13,8.75,Excellent
2018-05-08,13,9.5,Excellent
2018-06-03,13,7.5,Excellent
2018-06-04,13,5.0,Okay
2018-06-05,13,8.5,Excellent
2018-07-15,13,8.5,Excellent
2018-07-16,13,8.5,Excellent
2018-01-21,14,9.5,Excellent
2018-01-22,14,8.75,Excellent
2018-01-23,14,9.75,Excellent
2018-04-09,14,8.75,Excellent
2018-04-10,14,9.25,Excellent
2018-04-17,14,9.0,
2018-05-07,14,8.75,
2018-05-08,14,9.0,Excellent
2018-06-05,14,10.5,
2018-07-15,14,9.5,
2018-07-16,14,9.0,
2018-01-23,15,8.0,Excellent
2018-04-09,15,9.25,Okay
2018-04-10,15,8.75,Okay
2018-05-07,15,8.25,Excellent
2018-05-08,15,8.5,Excellent
2018-06-05,15,10.25,Okay
2018-07-15,15,10.0,Excellent
2018-07-16,15,9.0,Excellent
2018-01-21,16,11.0,Excellent
2018-01-22,16,8.5,Okay
2018-01-23,16,8.75,Okay
2018-04-08,16,4.0,Poor
2018-04-09,16,9.25,Okay
2018-04-10,16,9.0,Excellent
2018-04-16,16,8.0,Okay
