Date,PlayerID,SleepHours,Nutrition
2018-01-25,1,8.0,Excellent
2018-01-26,1,7.75,Excellent
2018-04-11,1,9.75,
2018-04-13,1,8.75,
2018-04-19,1,8.5,Excellent
2018-04-20,1,8.0,Excellent
2018-05-10,1,8.75,Excellent
2018-05-11,1,8.75,Excellent
2018-06-06,1,9.5,Excellent
2018-06-07,1,9.0,Excellent
2018-06-08,1,10.0,Excellent
2018-07-18,1,8.75,Excellent
2018-07-19,1,9.5,Excellent
2018-01-25,2,9.5,
2018-04-11,2,8.25,
2018-04-12,2,8.75,
2018-04-13,2,8.5,
2018-04-19,2,10.0,
2018-04-20,2,9.25,
2018-05-10,2,9.75,
2018-05-11,2,9.0,
2018-06-06,2,7.0,
2018-06-07,2,7.75,
2018-06-08,2,9.0,
2018-07-18,2,10.5,
2018-07-19,2,9.75,
2018-01-25,3,8.0,Excellent
2018-01-26,3,8.0,Excellent
2018-04-11,3,7.5,Excellent
2018-04-12,3,8.0,Excellent
2018-04-13,3,8.0,Excellent
2018-04-20,3,8.5,Excellent
2018-05-10,3,7.5,Excellent
2018-05-11,3,7.0,Excellent
2018-06-06,3,8.0,Excellent
2018-06-07,3,11.0,Excellent
2018-06-08,3,11.0,Excellent
2018-07-18,3,8.5,
2018-07-19,3,8.0,
2018-01-25,4,8.75,
2018-01-26,4,6.5,Excellent
2018-04-11,4,8.0,Excellent
2018-04-12,4,7.5,Excellent
2018-04-13,4,9.5,Excellent
2018-04-19,4,9.75,Excellent
2018-04-20,4,9.0,Excellent
2018-05-10,4,9.25,Excellent
2018-05-11,4,8.75,Excellent
2018-06-06,4,9.75,Excellent
2018-06-07,4,7.0,Excellent
2018-06-08,4,6.0,Excellent
2018-07-18,4,8.25,Excellent
2018-07-19,4,9.0,Excellent
2018-01-25,5,7.5,Okay
2018-01-26,5,7.25,Okay
2018-04-11,5,8.5,Okay
2018-04-12,5,8.0,Okay
2018-04-13,5,8.0,Okay
2018-04-19,5,8.5,Okay
2018-04-20,5,7.75,Okay
2018-05-11,5,8.5,Okay
2018-06-06,5,7.5,Okay
2018-06-07,5,12.0,Okay
2018-06-08,5,10.5,Okay
2018-01-25,6,8.0,Excellent
2018-01-26,6,8.25,Excellent
2018-04-11,6,9.0,Excellent
2018-04-12,6,8.0,Excellent
2018-04-19,6,8.25,Excellent
2018-04-20,6,8.75,Excellent
2018-05-11,6,8.25,Excellent
2018-06-06,6,8.5,Excellent
2018-06-07,6,7.75,Excellent
2018-07-18,6,9.0,Excellent
2018-07-19,6,8.25,
2018-01-25,7,10.0,Excellent
2018-01-26,7,8.75,Excellent
2018-04-11,7,9.0,Excellent
2018-04-12,7,9.0,Excellent
2018-04-13,7,9.25,Excellent
2018-04-19,7,9.75,Excellent
2018-04-20,7,9.25,Excellent
2018-05-10,7,9.5,Excellent
2018-05-11,7,9.5,Excellent
2018-06-06,7,9.75,Excellent
2018-06-07,7,8.5,Excellent
2018-06-08,7,9.5,Excellent
2018-07-18,7,9.0,Excellent
2018-07-19,7,9.5,Excellent
2018-01-25,8,8.0,
2018-01-26,8,8.75,Excellent
2018-04-11,8,8.5,
2018-04-12,8,8.5,
2018-04-13,8,9.75,
2018-04-19,8,9.75,
2018-04-20,8,8.25,
2018-05-10,8,8.0,
2018-05-11,8,9.25,
2018-06-06,8,9.5,
2018-06-07,8,9.25,
2018-06-08,8,8.0,
2018-01-25,9,10.5,Okay
2018-01-26,9,9.5,Okay
2018-01-25,10,9.0,Excellent
2018-01-26,10,7.75,Excellent
2018-04-11,10,8.0,Okay
2018-04-12,10,9.25,Okay
2018-04-13,10,7.75,Excellent
2018-04-19,10,8.25,Excellent
2018-04-20,10,8.75,Okay
2018-05-10,10,9.25,Excellent
2018-05-11,10,9.0,Okay
2018-06-06,10,7.5,Excellent
2018-06-07,10,5.25,Okay
2018-07-18,10,9.0,Excellent
2018-07-19,10,9.25,Okay
2018-01-25,11,8.25,Excellent
