Date,PlayerID,SleepHours,Nutrition
2018-01-24,1,8.5,Excellent
2018-01-25,1,8.0,Excellent
2018-04-10,1,8.0,
2018-04-11,1,9.75,
2018-04-18,1,8.5,Excellent
2018-04-19,1,8.5,Excellent
2018-05-09,1,8.75,Excellent
2018-05-10,1,8.75,Excellent
2018-06-05,1,8.75,Excellent
2018-06-06,1,9.5,Excellent
2018-06-07,1,9.0,Excellent
2018-07-17,1,8.75,Excellent
2018-07-18,1,8.75,Excellent
2018-01-24,2,9.0,
2018-01-25,2,9.5,
2018-04-10,2,9.0,
2018-04-11,2,8.25,
2018-04-12,2,8.75,
2018-04-18,2,10.0,
2018-04-19,2,10.0,
2018-05-09,2,9.25,
2018-05-10,2,9.75,
2018-06-05,2,10.0,
2018-06-06,2,7.0,
2018-06-07,2,7.75,
2018-07-17,2,9.0,
2018-07-18,2,10.5,
2018-01-24,3,8.0,Excellent
2018-01-25,3,8.0,Excellent
2018-04-10,3,8.0,Excellent
2018-04-11,3,7.5,Excellent
2018-04-12,3,8.0,Excellent
2018-04-18,3,9.0,Excellent
2018-05-09,3,9.0,Excellent
2018-05-10,3,7.5,Excellent
2018-06-05,3,11.0,Excellent
2018-06-06,3,8.0,Excellent
2018-06-07,3,11.0,Excellent
2018-07-17,3,8.5,
2018-07-18,3,8.5,
2018-01-24,4,8.0,Excellent
2018-01-25,4,8.75,
2018-04-10,4,8.5,Excellent
2018-04-11,4,8.0,Excellent
2018-04-12,4,7.5,Excellent
2018-04-18,4,9.5,Excellent
2018-04-19,4,9.75,Excellent
2018-05-09,4,9.25,Excellent
2018-05-10,4,9.25,Excellent
2018-06-05,4,7.75,Excellent
2018-06-06,4,9.75,Excellent
2018-06-07,4,7.0,Excellent
2018-07-17,4,9.25,Excellent
2018-07-18,4,8.25,Excellent
2018-01-24,5,8.0,Okay
2018-01-25,5,7.5,Okay
2018-04-11,5,8.5,Okay
2018-04-12,5,8.0,Okay
2018-04-18,5,8.25,Okay
2018-04-19,5,8.5,Okay
2018-05-09,5,8.0,Okay
2018-06-05,5,7.5,Okay
2018-06-06,5,7.5,Okay
2018-06-07,5,12.0,Okay
2018-01-24,6,9.0,Excellent
2018-01-25,6,8.0,Excellent
2018-04-10,6,8.25,Excellent
2018-04-11,6,9.0,Excellent
2018-04-12,6,8.0,Excellent
2018-04-19,6,8.25,Excellent
2018-05-09,6,8.75,Okay
2018-06-05,6,8.75,Okay
2018-06-06,6,8.5,Excellent
2018-06-07,6,7.75,Excellent
2018-07-18,6,9.0,Excellent
2018-01-24,7,9.25,Excellent
2018-01-25,7,10.0,Excellent
2018-04-10,7,8.75,Excellent
2018-04-11,7,9.0,Excellent
2018-04-12,7,9.0,Excellent
2018-04-18,7,8.75,Excellent
2018-04-19,7,9.75,Excellent
2018-05-09,7,9.5,Excellent
2018-05-10,7,9.5,Excellent
2018-06-05,7,10.25,Excellent
2018-06-06,7,9.75,Excellent
2018-06-07,7,8.5,Excellent
2018-07-17,7,9.0,Excellent
2018-07-18,7,9.0,Excellent
2018-01-24,8,7.75,
2018-01-25,8,8.0,
2018-04-10,8,8.0,
2018-04-11,8,8.5,
2018-04-12,8,8.5,
2018-04-18,8,9.75,
2018-04-19,8,9.75,
2018-05-09,8,9.25,
2018-05-10,8,8.0,
2018-06-05,8,9.5,
2018-06-06,8,9.5,
2018-06-07,8,9.25,
2018-01-24,9,10.5,Okay
2018-01-25,9,10.5,Okay
2018-01-25,10,9.0,Excellent
2018-04-10,10,9.0,Excellent
2018-04-11,10,8.0,Okay
2018-04-12,10,9.25,Okay
2018-04-18,10,9.25,Excellent
2018-04-19,10,8.25,Excellent
2018-05-09,10,9.0,Excellent
2018-05-10,10,9.25,Excellent
2018-06-05,10,8.5,Excellent
2018-06-06,10,7.5,Excellent
2018-06-07,10,5.25,Okay
2018-07-17,10,8.75,Excellent
2018-07-18,10,9.0,Excellent
2018-01-25,11,8.25,Excellent
2018-04-10,11,7.75,Excellent
