Date,PlayerID,SleepHours,Nutrition
2018-01-26,1,7.75,Excellent
2018-01-27,1,8.75,Excellent
2018-04-13,1,8.75,
2018-04-14,1,8.25,
2018-04-20,1,8.0,Excellent
2018-04-21,1,8.5,Excellent
2018-05-11,1,8.75,Excellent
2018-05-12,1,8.75,Excellent
2018-06-07,1,9.0,Excellent
2018-06-08,1,10.0,Excellent
2018-06-09,1,8.75,Excellent
2018-07-19,1,9.5,Excellent
2018-07-20,1,8.0,Excellent
2018-01-27,2,8.75,
2018-04-12,2,8.75,
2018-04-13,2,8.5,
2018-04-14,2,8.5,
2018-04-20,2,9.25,
2018-04-21,2,9.0,
2018-05-11,2,9.0,
2018-05-12,2,9.0,
2018-06-07,2,7.75,
2018-06-08,2,9.0,
2018-06-09,2,9.0,
2018-07-19,2,9.75,
2018-07-20,2,9.0,
2018-01-26,3,8.0,Excellent
2018-01-27,3,8.0,Excellent
2018-04-12,3,8.0,Excellent
2018-04-13,3,8.0,Excellent
2018-04-14,3,8.0,Excellent
2018-04-20,3,8.5,Excellent
2018-04-21,3,8.5,Excellent
2018-05-11,3,7.0,Excellent
2018-05-12,3,7.0,Excellent
2018-06-07,3,11.0,Excellent
2018-06-08,3,11.0,Excellent
2018-06-09,3,8.5,Excellent
2018-07-19,3,8.0,
2018-07-20,3,8.0,
2018-01-26,4,6.5,Excellent
2018-01-27,4,7.25,Excellent
2018-04-12,4,7.5,Excellent
2018-04-13,4,9.5,Excellent
2018-04-14,4,7.25,Excellent
2018-04-20,4,9.0,Excellent
2018-04-21,4,8.0,Excellent
2018-05-11,4,8.75,Excellent
2018-05-12,4,8.75,Excellent
2018-06-07,4,7.0,Excellent
2018-06-08,4,6.0,Excellent
2018-06-09,4,7.0,Excellent
2018-07-19,4,9.0,Excellent
2018-07-20,4,8.0,Excellent
2018-01-26,5,7.25,Okay
2018-04-12,5,8.0,Okay
2018-04-13,5,8.0,Okay
2018-04-14,5,7.75,Okay
2018-04-20,5,7.75,Okay
2018-04-21,5,8.0,Okay
2018-05-11,5,8.5,Okay
2018-05-12,5,8.25,Okay
2018-06-07,5,12.0,Okay
2018-06-08,5,10.5,Okay
2018-06-09,5,7.5,Okay
2018-07-20,5,7.25,Okay
2018-01-26,6,8.25,Excellent
2018-01-27,6,6.25,Okay
2018-04-12,6,8.0,Excellent
2018-04-14,6,9.0,Excellent
2018-04-20,6,8.75,Excellent
2018-05-11,6,8.25,Excellent
2018-05-12,6,8.5,
2018-06-07,6,7.75,Excellent
2018-07-19,6,8.25,
2018-01-26,7,8.75,Excellent
2018-01-27,7,8.5,Okay
2018-04-12,7,9.0,Excellent
2018-04-13,7,9.25,Excellent
2018-04-14,7,8.0,Excellent
2018-04-20,7,9.25,Excellent
2018-04-21,7,9.25,Excellent
2018-05-11,7,9.5,Excellent
2018-05-12,7,9.5,Excellent
2018-06-07,7,8.5,Excellent
2018-06-08,7,9.5,Excellent
2018-06-09,7,9.25,Excellent
2018-07-19,7,9.5,Excellent
2018-07-20,7,9.0,Excellent
2018-01-26,8,8.75,Excellent
2018-01-27,8,8.0,
2018-04-12,8,8.5,
2018-04-13,8,9.75,
2018-04-14,8,8.25,
2018-04-20,8,8.25,
2018-04-21,8,9.5,
2018-05-11,8,9.25,
2018-05-12,8,8.5,
2018-06-07,8,9.25,
2018-06-08,8,8.0,
2018-06-09,8,8.5,
2018-01-26,9,9.5,Okay
2018-01-27,9,9.5,Poor
2018-01-26,10,7.75,Excellent
2018-01-27,10,8.75,Excellent
2018-04-12,10,9.25,Okay
2018-04-13,10,7.75,Excellent
2018-04-14,10,8.0,Excellent
2018-04-20,10,8.75,Okay
2018-04-21,10,8.5,Excellent
2018-05-11,10,9.0,Okay
2018-05-12,10,8.75,Excellent
2018-06-07,10,5.25,Okay
2018-07-19,10,9.25,Okay
2018-07-20,10,8.5,Excellent
2018-01-26,11,7.5,Excellent
2018-01-27,11,8.0,Okay
2018-04-12,11,8.25,Excellent
2018-04-13,11,7.75,Excellent
2018-04-14,11,7.75,Okay
2018-04-20,11,8.5,Okay
2018-04-21,11,8.75,Okay
2018-05-11,11,9.5,Excellent
2018-05-12,11,8.5,Excellent
2018-06-07,11,9.0,Excellent
2018-06-08,11,9.75,Okay
2018-06-09,11,8.0,Okay
2018-07-19,11,8.75,Excellent
2018-07-20,11,8.25,Excellent
2018-01-26,12,8.5,Okay
2018-01-27,12,8.5,Okay
2018-04-12,12,8.5,Okay
2018-04-13,12,8.5,Okay
2018-04-14,12,8.5,Okay
2018-04-21,12,8.5,Okay
2018-05-11,12,7.0,Okay
2018-05-12,12,8.5,Okay
2018-06-07,12,8.0,Okay
2018-01-26,13,8.5,Excellent
2018-01-27,13,8.5,Excellent
2018-04-12,13,9.0,Excellent
2018-04-13,13,9.0,Excellent
2018-04-14,13,8.5,Excellent
2018-04-20,13,8.5,Excellent
2018-04-21,13,9.25,Excellent
2018-05-11,13,9.0,Excellent
2018-05-12,13,8.75,Excellent
2018-06-07,13,9.25,Excellent
2018-06-08,13,9.0,Excellent
2018-06-09,13,8.5,Excellent
2018-07-19,13,8.5,Excellent
2018-07-20,13,8.5,Excellent
