Date,PlayerID,SleepHours,Nutrition
2018-04-14,1,8.25,
2018-04-15,1,8.25,Excellent
2018-05-05,1,9.5,Excellent
2018-05-06,1,9.0,Excellent
2018-06-01,1,8.75,Excellent
2018-06-02,1,9.75,Excellent
2018-06-03,1,7.0,Excellent
2018-07-13,1,9.25,Excellent
2018-07-14,1,8.75,Excellent
2018-04-14,2,8.5,
2018-04-15,2,9.25,
2018-05-05,2,9.25,
2018-05-06,2,10.0,
2018-06-01,2,9.25,
2018-06-02,2,10.25,
2018-06-03,2,6.75,
2018-07-13,2,9.5,
2018-07-14,2,11.25,
2018-04-14,3,8.0,Excellent
2018-04-15,3,8.0,Excellent
2018-05-05,3,10.0,Excellent
2018-05-06,3,8.5,Excellent
2018-06-01,3,8.0,Excellent
2018-06-02,3,8.0,Excellent
2018-06-03,3,7.5,Excellent
2018-07-13,3,7.5,
2018-07-14,3,7.5,
2018-04-14,4,7.25,Excellent
2018-04-15,4,6.5,Excellent
2018-05-05,4,8.5,Excellent
2018-05-06,4,8.0,Excellent
2018-06-01,4,6.0,Excellent
2018-06-02,4,8.25,Excellent
2018-07-13,4,9.0,Excellent
2018-07-14,4,6.25,Excellent
2018-04-14,5,7.75,Okay
2018-04-15,5,7.5,Okay
2018-05-05,5,6.25,Okay
2018-06-01,5,7.0,Okay
2018-06-03,5,4.75,Okay
2018-07-13,5,10.0,Okay
2018-04-14,6,9.0,Excellent
2018-05-05,6,8.5,Excellent
2018-05-06,6,8.5,
2018-06-01,6,8.0,Okay
2018-04-14,7,8.0,Excellent
2018-04-15,7,8.75,Excellent
2018-05-05,7,11.0,Excellent
2018-05-06,7,10.5,Excellent
2018-06-01,7,9.0,Excellent
2018-06-02,7,9.5,Excellent
2018-06-03,7,7.0,Excellent
2018-07-13,7,9.5,Excellent
2018-07-14,7,10.0,Excellent
2018-04-14,8,8.25,
2018-04-15,8,8.25,
2018-06-01,8,10.25,
2018-06-03,8,6.25,
2018-04-14,10,8.0,Excellent
2018-04-15,10,8.5,Excellent
2018-05-05,10,8.5,Okay
2018-06-01,10,8.5,Excellent
2018-06-02,10,8.0,Okay
2018-06-03,10,10.0,Excellent
2018-07-13,10,9.5,Excellent
2018-07-14,10,6.25,Okay
2018-04-14,11,7.75,Okay
2018-04-15,11,7.75,Excellent
2018-05-05,11,10.0,Excellent
2018-05-06,11,10.5,Excellent
2018-06-01,11,9.0,Excellent
2018-06-02,11,7.5,Excellent
2018-06-03,11,6.0,Excellent
2018-07-13,11,9.5,Okay
2018-07-14,11,5.75,Okay
2018-04-15,12,8.5,Okay
2018-06-01,12,8.0,Okay
2018-04-15,13,8.5,Excellent
2018-05-05,13,11.0,Excellent
2018-05-06,13,10.25,Excellent
2018-06-01,13,9.0,Excellent
2018-06-02,13,10.5,Excellent
2018-06-03,13,7.5,Excellent
2018-07-13,13,11.5,Excellent
2018-07-14,13,10.0,Excellent
2018-04-15,14,9.0,Excellent
2018-05-05,14,10.25,
2018-06-01,14,9.5,Excellent
2018-07-14,14,9.5,
2018-04-15,16,8.0,Excellent
2018-05-05,16,9.0,Excellent
2018-05-06,16,9.25,Okay
2018-06-01,16,8.0,Okay
2018-06-02,16,9.0,Okay
2018-06-03,16,6.0,Okay
2018-07-13,16,8.5,Excellent
2018-07-14,16,9.0,Excellent
2018-06-01,17,9.0,Okay
2018-06-02,17,9.0,Okay
