Date,PlayerID,SessionType,Duration
2018-04-09,1,Speed,30.0
2018-04-17,1,Skills,15.0
2018-05-08,1,Speed,40.0
2018-05-09,1,Skills,80.0
2018-06-04,1,Mobility/Recovery,30.0
2018-06-05,1,Speed,30.0
2018-07-16,1,Skills,60.0
2018-07-17,1,Skills,60.0
2018-04-10,2,Skills,60.0
2018-04-11,2,,
2018-04-17,2,Skills,30.0
2018-04-18,2,Skills,90.0
2018-05-08,2,Speed,15.0
2018-05-09,2,Skills,90.0
2018-06-04,2,Mobility/Recovery,45.0
2018-06-05,2,Speed,20.0
2018-06-06,2,,
2018-07-16,2,Speed,20.0
2018-07-17,2,Skills,60.0
2018-04-09,3,Skills,90.0
2018-04-10,3,Skills,90.0
2018-04-11,3,,
2018-04-17,3,Skills,30.0
2018-04-18,3,Skills,90.0
2018-05-08,3,Speed,30.0
2018-05-09,3,Skills,60.0
2018-06-04,3,,
2018-06-05,3,Speed,30.0
2018-06-06,3,,
2018-07-16,3,Speed,30.0
2018-07-17,3,Skills,75.0
2018-04-10,4,Speed,30.0
2018-05-08,4,Speed,30.0
2018-06-05,4,Skills,60.0
2018-07-17,4,Skills,60.0
2018-07-17,5,Skills,60.0
2018-04-09,6,Speed,40.0
2018-04-10,6,Skills,40.0
2018-04-17,6,Speed,30.0
2018-05-08,6,Conditioning,6.0
2018-06-04,6,Skills,80.0
2018-06-05,6,Skills,70.0
2018-07-17,6,Speed,30.0
2018-04-09,7,Skills,75.0
2018-04-10,7,Skills,75.0
2018-04-11,7,,
2018-04-17,7,Skills,20.0
2018-04-18,7,Conditioning,20.0
2018-05-08,7,Skills,45.0
2018-05-09,7,Skills,60.0
2018-06-04,7,Mobility/Recovery,60.0
2018-06-05,7,Speed,20.0
2018-07-16,7,Skills,60.0
2018-07-17,7,Skills,75.0
2018-04-10,8,Speed,30.0
2018-04-18,8,Skills,90.0
2018-05-08,8,Speed,20.0
2018-05-09,8,Skills,90.0
2018-06-05,8,Speed,25.0
2018-06-06,8,Mobility/Recovery,30.0
2018-04-11,10,,
2018-04-17,10,Skills,40.0
2018-04-18,10,Skills,60.0
2018-05-08,10,Skills,75.0
2018-05-09,10,Skills,75.0
2018-06-04,10,Speed,60.0
2018-06-05,10,Conditioning,60.0
2018-07-16,10,Speed,25.0
2018-07-17,10,Skills,60.0
2018-04-10,11,Skills,45.0
2018-04-11,11,,
2018-04-17,11,Skills,35.0
2018-04-18,11,Skills,90.0
2018-05-08,11,Skills,75.0
2018-05-09,11,Skills,75.0
2018-06-04,11,Mobility/Recovery,30.0
2018-06-05,11,Speed,30.0
2018-06-06,11,,
2018-07-16,11,Skills,90.0
2018-07-17,11,Skills,90.0
2018-04-11,12,,
2018-04-17,12,Strength,30.0
2018-06-04,12,Speed,45.0
2018-06-06,12,Mobility/Recovery,30.0
2018-04-10,13,Speed,20.0
2018-04-11,13,Mobility/Recovery,15.0
2018-04-17,13,Strength,20.0
2018-04-18,13,Skills,90.0
2018-05-08,13,Speed,15.0
2018-05-09,13,Skills,90.0
2018-06-04,13,Mobility/Recovery,20.0
2018-06-05,13,Skills,60.0
2018-06-06,13,Mobility/Recovery,30.0
2018-07-16,13,Speed,20.0
2018-07-17,13,Skills,90.0
2018-04-10,14,Skills,90.0
2018-05-08,14,Conditioning,30.0
2018-05-09,14,Skills,60.0
2018-06-05,14,Speed,10.0
2018-07-17,14,Skills,90.0
2018-05-08,15,Speed,30.0
2018-06-06,15,,
2018-07-17,15,Skills,60.0
2018-04-10,16,Skills,45.0
2018-04-11,16,Mobility/Recovery,60.0
2018-04-17,16,Strength,45.0
2018-04-18,16,Skills,60.0
2018-05-08,16,Skills,60.0
2018-05-09,16,Skills,60.0
2018-06-04,16,Mobility/Recovery,90.0
2018-06-05,16,Skills,60.0
2018-06-06,16,,
2018-07-16,16,Speed,20.0
2018-07-17,16,Skills,60.0
2018-04-10,17,Conditioning,20.0
2018-04-17,17,Skills,30.0
2018-04-18,17,Mobility/Recovery,30.0
2018-06-04,17,Speed,30.0
2018-06-05,17,Skills,90.0
2018-06-06,17,Strength,18.0
